"Position","Review","Date","X","df_P5$Date <- ..."
1,"Posted:","22-Oct-22","I'm a so called free thinker buying this game for a third time","2022-10-22"
2,"Posted:","1-Nov-22","This is my #1 pick for ""Game I wish I could forget so I could experience it again for the first time"".","2022-11-01"
3,"Posted:","26-Oct-22","gonna bang the goth doctor that sells me perc30","2022-10-26"
5,"Posted:","25-Oct-22","Runs perfect on Steam deck.","2022-10-25"
6,"Posted:","22-Oct-22","-Have I played the game before? ""Yes"" -Have i cleared the game multiple times and get all achievements before? ""Yes"" -Do I need to buy the game again? ""Hell Yes""","2022-10-22"
7,"Posted:","24-Oct-22","I will punt morgana's simp ass into the shadow realm.","2022-10-24"
8,"Posted:","2-Nov-22","stopped studying for exams irl to study for exams in game 10/10","2022-11-02"
9,"Posted:","21-Oct-22","Product received for free A really solid port for an incredible game. I encountered no bugs in the 80+ hours I spent so far. It's so bug free, it even fixed some bugs I encountered in the PS4 version. Great port, great game. Can't recommend this game enough.","2022-10-21"
10,"Posted:","21-Oct-22","When Final Fantasy XV launched back in 2016 it started with a message - ""A Final Fantasy for Fans and First-TimersÓ. And while it can be argued if that is true in regards to the FF franchise, I feel that saying works really well for Persona 5. If you never played a Persona title, you can jump straight away without any fear, and what youÕll find is a game that is incredibly addictive and it definitely deserves the title Òone of the best JRPGS of all timeÓ. On a personal level, Persona 5 is one of my favorite games of all time, IÕve played through it numerous times and I still canÕt believe that IÕm doing it right now on PC. Something that was a pipe dream years ago turned into reality and I never wouldÕve missed the opportunity to support AtlusÕs decision to finally put the game on Steam. I still canÕt quite comprehend how much the series has grown since that fateful day in late 2007 when I was introduced to Persona 3 by a close friend. It was like nothing that IÕve played before and I loved it so much, that I went back and played Persona 1, 2 and numerous SMT titles, and then eagerly anticipated the release of Persona 4. When I played Persona 4 Golden for the first time back in the day, I thought that was the pinnacle of what the Persona franchise can achieve, but Atlus has shown us they have more than enough gas in the tank to keep this train going with Persona 5. The game feels much like a second home, while the outside world remains turbulent as ever, Joker and company are there for you if you need some entertainment to wind down. The characters feel like real people with real problems that are willing to test your empathy all through this 100-hour adventure. Persona 5 doesnÕt just focus on the glam, it does the mundane really well. There are moments where youÕre cleaning up your room, going out with a friend, or having your depressed guardian take you to school. You get used to just chilling and taking it all in, because every moment in this adventure counts and you foolishly start to understand it only when the end credits are starting to roll. The story is another strong point and while some moments seem predictable, it doesnÕt take away from its glory. Dungeons are improved compared to Persona 4 and they are separated in two categories campaign related and side content (which remain procedurally generated). The gameplay/combat animations are incredible and even something incredibly mundane as getting the upper hand in a battle seems smooth and stylish (even more in 120fps!). The soundtrack is brilliant and yes, during the years this has become a tradition in almost every Persona/SMT game and thank God it is, because it helps tremendously to set the mood. Persona 5 Royal is a collection of many things: inspiring stories, good times with good friends, a stunning visual novel and an amazing dungeon crawler. By working on what was already great and with brilliant new additions, Persona 5 Royal is an unforgettable experience that has you thinking about it long after itÕs over.","2022-10-21"
11,"Posted:","22-Oct-22","Product received for free Now I don't have any reasons to buy ps4 or 5","2022-10-22"
12,"Posted:","21-Oct-22","FOR REAL?!?!","2022-10-21"
13,"Posted:","24-Dec-22","How am I supposed to play other games after this? The game doesn't miss a single step. It's straight 10 outta 10 in every category. 11 in some, actually. The game is so good it puts a severe strain on my vocabulary. The OST is incredible, the story is amazing, the atmosphere is unique, the UI is iconic, the gameplay is captivating, the art style is gorgeous, the role-playing is unparalleled, the voice work is pristine... The adjectives just keep on piling up. After 143 hours and all achievements one would expect me to be quite done, but here I am debating doing a NG+ run (harem time), watching the anime adaptation or just jumping into P5 Strikers immediately. The whole experience is just so unbelievable cozy, charming and enthralling that you just wanna keep on being a phantom thief ad infinitum. The only game that grabbed me so thoroughly was Persona 4 Golden. And although I still love 4 more, this one is indisputable the better game. Every single aspect is improved and the amount of quality of life features is astounding. The attention to detail is unmatched. There are a lot of good games out there. There are also quite a few excellent ones. But P5R is the kind of game that raises the bar for the whole medium. These you don't see so often. P.S. Yukiko still best waifu.","2022-12-24"
14,"Posted:","1-Nov-22","Took me a bit but I think I'm done the tutorial.","2022-11-01"
15,"Posted:","13-Nov-22","This is exactly what every port should be. -No needing day one patches -No Epic exclusivity -No requiring 3rd party launchers -Optimized performance This is one of the best ports I've ever played. It was totally worth it to wait..","2022-11-13"
16,"Posted:","27-Oct-22","pros: + this game really says a lot about our society + joker + you no longer need schizophrenia to have friends cons: - no adachi - mishima (he is too relatable to the player) - i still can't find the ginza line","2022-10-27"
18,"Posted:","22-Oct-22","Finally Persona 5 fans can play Persona 5!","2022-10-22"
19,"Posted:","21-Oct-22","Just the menu soundtrack made me hard.","2022-10-21"
20,"Posted:","9-Nov-22","Persona 5 Royal PC port is a dream come true for Persona fans and a worthy successor to Persona 4 Golden in every way __ Massive storyline that will keep you hooked for well-over 120+ hours. Make sure you go for the true ending which is really good (hint: try to max your bonds, although not everyone's required) __ Excellent PC port, with option to play at 120 FPS which feels so smooth __ Unparalleled UI design __ Fantasic combat & gameplay with amazing soundtracks, they're so good __ Bonding rank up is extremely rewarding __ Strong dating sim elements __ QOL design is superb __ Demons can be customized pretty much the way you want __ Theives Den is pretty cool and chasing after awards can easily extend the game __ Akechi __ Persona 5 Royal gives you OP demons right at the very beginning which makes the game difficulty trivial if you use it. Also it makes you lose the 'sense of challenge' when you know you can easily take the OP demon and finish the fight. At least getting it at the end of the game or a toggle option for people who beat the game would've made more sense __ Although not necessarily a con, I believe the Theives Den awards should've been included into Steam achievements, those feel like real achievements If you played Persona 4 Golden, then maxing bonds shouldn't be very difficult. Fortune teller's bond should be maxed out first to have an easier time with others. Always select 'positive' answers and make sure you've a 'matching arcana' Persona with you when doing bonding events","2022-11-09"
22,"Posted:","21-Oct-22","I've beat this game around 8 times on PlayStation and I can say confidently that it is one the greatest games of all time.","2022-10-21"
23,"Posted:","22-Dec-22","Yusuke Kitagawa","2022-12-22"
24,"Posted:","25-Oct-22","It's the funny mask guy from Super Smash Bros. Ultimate","2022-10-25"
25,"Posted:","21-Oct-22","Joker before stealing treasure : "" I'M ABOUT TO END THIS MAN'S WHOLE CAREER"" .","2022-10-21"
27,"Posted:","23-Oct-22","Product received for free My boyfriend gifted me this after he passed his exam, as his celebration gift... I want to propose to him for marriage...","2022-10-23"
28,"Posted:","2-Nov-22","If you don't have any friend or girlfriend, BUY THIS GAME !! As this game will let you taste the joy of Friendship and Love. . . . But . . . Always Remember, If you already have enough references, don't ever get too Comfortable with this game. As you too, should face the reality and seek your true Friendship and Romance. I Wish You the Best of Luck my Friend !","2022-11-02"
29,"Posted:","21-Oct-22","HOO BOY, here we go! I've bought P5/P5R on three different occasions at full price as well as every single spin-off game. That should already tell you how good the game is and how financially irresponsible I am when it comes to Persona. Most reviews give this game a solid 10 out of 10, calling it a great masterpiece. I would go a step further and refer to this game as genre-defining. The level of precise detail and care put into Persona 5 Royal, which is debatably the best JRPG ever developed, makes it nothing less than a labor of love built upon a 25-year foundation of a masterclass in storytelling. ATLUS successfully blends the subtleties of everyday life such as time management with the reality of its plot sequences to create a great representation of both everyday life and being a Phantom Thief. You will grow to adore P5R's primary heroes, The Phantom Thieves of Hearts. You assume control of their leader, an outcast kid who has the desire to change the world. You build and strengthen bonds with confidants closest to you when you're not sneaking into castles to steal the hearts of individuals corrupted by evil. The game also features one of the most intriguing villains in the series while yet maintaining a fantasy feel with the help of bosses that are presented according to the series' canon. The side-quests aren't your repetitive copy and paste filler. There aren't really any ""Take item-deliver it there,"" ""Defeat 10 of these enemies,"" etc. side-quests, if you can even call them that. The daily activities of a high school student include side missions with actual substance, which are vital to the progression of the main plot and the development of the games cast of characters. They are activities that are optional but actually adds a whole lot to the overarching story and are absolutely worth going out of your way to do. You can't talk about Persona without talking about it's banger soundtrack! Every song is amazingly written, catchy, and the tracks in the Palaces never gets stale so listening to the music never really feels repetitive. The battle music is also top tier, and it always plays at the right moments to help set the tone and atmosphere. The tracks builds up to that point to create a feeling of hype and anticipation that is unmatched in most video games today. It's challenging for any modern game to compare to ATLUS's goal of taking their franchise to new heights because this game hits the series right in the heart. In my opinion, a modern JRPG would be a huge triumph if it even manages to surpass 50% of what Persona 5 Royal has accomplished. I genuinely believe that Persona 5 Royal is ahead of its time and will be one that is talked about in years to come. 100/10 Would recommend this game to anyone who just loves video games. P.S. They are all best girls. Harem route baby!","2022-10-21"
30,"Posted:","22-Nov-22","One of the most fun JRPGs I've played in a long time and the soundtrack is just ridiculously good, I don't even know if I like the gameplay or ost better *Pro tip: if you are new to the series ***stay away from the persona fandom*** you are welcome","2022-11-22"
32,"Posted:","23-Oct-22","C'mon dude, you can't go after Kamoshida's b*tch!","2022-10-23"
34,"Posted:","26-Oct-22","Literally a game so good I bought it a 2nd time just to enjoy it on PC. Fairly high price, but when a single playthrough is 130 hours of good times AND it has replayability, it's worth the value","2022-10-26"
36,"Posted:","21-Dec-22","---{ Graphics }--- _ You forget what reality is _ Beautiful _ Good _ Decent _ Bad _ DonÔt look too long at it _ MS-DOS ---{ Gameplay }--- _ Very good _ Good _ It's just gameplay _ Mehh _ Watch paint dry instead _ Just don't ---{ Audio }--- _ Eargasm _ Ver","2022-12-21"
37,"Posted:","12-Nov-22","They named the whitest character in the game Jose.","2022-11-12"
38,"Posted:","22-Oct-22","I have Persona 5 for PS3, Persona 5 Royal for PS4, just got it for PC and Switch. 10/10","2022-10-22"
39,"Posted:","24-Oct-22","I'm no longer a persona 5 fan, because i played persona 5 :(","2022-10-24"
40,"Posted:","24-Oct-22","The delicious irony of the existence of the Metaverse, an alternate reality that houses people's distorted and perverted desires, in a game originally released in 2016 whose central themes include fighting back against powerful people who abuse social systems for their own gain... And the existence of the Metaverse, an alternate reality built by powerful people's distorted and perverted desires to commercialize and abuse every aspect of consumer behavior for their own gain, in the year of our Lord 2022 in actual f'ing real life. 10 Michelin Stars","2022-10-24"
41,"Posted:","3-Nov-22","I might as well say this is not my first time playing through the game as I have logged over 200 hours on PS4 as well. The fact that i still bought this game again to play it again probably speaks for what i think of it, but oh well. This is a game that you should play simply because of the love, passion and sheer amount of time that went into giving the facets of the game life and style that have and will continue to inspire how games are made into the future. That's it. That's my thoughts. The rest of this review is just qualifying statements that might matter to you. Even if you dislike anime and JRPGs with turn based combat, it's entirely worth giving this game a try. However, I must warn you that if you are someone that likes to see literally everything and complete every last possible thing a game has to offer to a compulsive degree, this game is simply not for you. I'd see the video ""the completionist"" did for the original persona 5 for an explanation why. As the loading icon says, ""take your time"" and enjoy what you can get out of the game. Those two statements may seem contradictory, but I think it will probably make sense if you stop and smell the roses a bit here and there, both in and out of the game. As a PC port of a PS4 game, there have been minimal visual glitches that I have seen that is probably a result of certain things not playing well with 120 fps and being slightly jittery in very rare spots. Oh yeah, listen to the music. This is not a request, but a demand. I have probably listened to the soundtrack for this game and others in the series for thousands of hours simply because it's such great atmospheric music","2022-11-03"
42,"Posted:","25-Oct-22","ryuji","2022-10-25"
43,"Posted:","25-Oct-22","Ah yes another set of fake friends to bond with during time I could be socialising with my actual friends? yes please :D","2022-10-25"
44,"Posted:","29-Nov-22","""Will play for 1 hour""......""3 hours later."" What is sleep ? :crtevil:","2022-11-29"
45,"Posted:","30-Dec-22","I've never felt such level of companionship before. This makes you feel alive in every way. I remember wanting to commit suicide back when this came out. Never got around to the PS4 version and not I'm ecstatic to see this on PC. Never have I felt all these feels in all my years of gaming. The loop is pretty basic but also pretty satisfying. You will spend most of your time in dialogue and story rather than combat. Still this is one of the best titles I've ever played. Easily deserves a 10/10.","2022-12-30"
47,"Posted:","24-Oct-22","This is the 3rd time i own this game. I owned the original (steelbox), Royal (Phantom Thieves edition) and now it's time to play through it once more. As this review will gather dust, my hours played will grow into dozens, then hundreds. This is not an unbiased review. I love this series to bits, it shaped me as a person in highschool and adulthood, and I will unashamedly praise it as the best RPG and probably the game I have most loved of the thousands I've played. If that's ok with you, read on. If you've never experienced a Persona game before, I will try to make a short description, but beware; the game has so much content that not even a long form review could do it justice. Persona games are, since the 3rd entry, a coherent mix of social/high school life simulator and RPG dungeon crawler / creature collector. The first aspect is there for you to meet and deepen your bonds with a great cast of compelling, well written characters, as well as give you a suite of mini-games and activities that will net you money, items, and increase your social stats to be able to interact with said characters. Those interactions are supremely important for the dungeon aspect, as each unlocks bonuses and new mechanics for it. The dungeon running aspect consists in exploring and doing combat in a different dimension, inside both a set of hand crafted dungeons specific to a villain, as well a randomly generated, gigantic dungeon that unlocks as you go forward. In this dungeon you and your party gains increased physical abilities, as well as the capacity to summon a persona, a manifestation of the user's psyche. The protagonist is always the trickster, a special kind of personality that can create and use multiple personas at will, which is where the monster collection part comes in. So far you may think that while this does indeed sound exciting, it's not something you haven't seen before, and you'd be mostly right. Outside of the specific blend of living a normal life and being a super hero in another dimension, there's not much you haven't seen before in JRPGs, and you'd not be too wrong. However, Persona's strength isn't in doing something that no one else does but in two key aspects: Feeling and Timing. Persona 5 will make you feel at every step during the game. Its soundtrack will quickly make you at least hum along from the first few moments of hearing it, it will randomly pop up in your head as you do menial chores, you will sing along with it during car rides. It's upbeat where it has to be, it's melancholic where it has to be, and the lyrics will stay with you. The Interface is unique and stylish, with a ton of color and personality. the animations, the emotions drawn on the characters are well adapted to what's going on on the screen. You will smile as you see the Phantom Thieves jump around and kick ass, you will feel the pain that a character is struggling with, you will feel joy and empathy when they overcome their trials. Ultimately, all of these combine into a package that has both amazing aesthetics and content. The struggles of the characters are also very relatable and form a good mix of the human condition. The game will simply grab your emotions and won't let them go from start to finish. In regards to Timing, I'll say that I do expect Persona's insistence to make you live each day of the better part of a year to come off as 'padding' to some people. I see it differently. It helps sell the idea that you're actually living a life. It makes meeting and spending time with characters and growing close to them feel organic. You end up caring about them because the way you spend time ticks certain boxes inside your mind that make the illusion more real. I'd say that, taking everything into consideration, what makes Persona 5 Royal great is how it can tell an extremely larger than life story and make it feel so real and relatable. In a sense, media exists to fulfil our need to be more than who we are, to kidnap us shortly from our mundane existence and take us where we cannot go. No other game has done this to me quite like Persona 5 Royal, and I'm happy that everyone on PC and all consoles can now enjoy it. I hope you'll give it a shot too one day, and when you do, it will take your heart, as it has taken mine.","2022-10-24"
48,"Posted:","23-Oct-22","If you are single, playing this game is perfect for you to become a playboy.","2022-10-23"
50,"Posted:","21-Oct-22","Product received for free this game is definitely one of the games ever.","2022-10-21"
51,"Posted:","25-Oct-22","I hate JRPG's. I mean I really hate them. So, when I say Persona 5 / Persona 5 Royal is one of my favorite games of all time, hopefully that meaningfully communicates just how tremendous a game this is. It feeds new concepts to you through the entire game through almost every hour of play from start to finish. Persona 5, is the Resident Evil 4 of the Persona Series.","2022-10-25"
54,"Posted:","6-Nov-22","Instead of making minor tweaks to an already excellent game, this RPG packs in so much content that it feels like a completely new game. Some features of Persona 5 Royal are things you'd expect to see in any ""director's cut"" game, such as more voice acting in either English or Japanese during key story moments (players have the option of choosing which they prefer at the start). Older cutscenes have been re-edited to include new characters and events, further fleshing out the game's plot. There's even an extra school semester that significantly expands the gameplay by adding new holidays, events, and exams. That would suffice in most cases, but it only scratches the surface. There are new characters to interact with (and get to help you in your adventure), as well as a new location called Kichijoji, which includes a sports bar where you can play pool and darts with your Phantom Thief friends, a jazz bar where you can hang out and invite people, and clothing stores where you can sell off gear to collect in battle. It's a place you'll want to visit again and again. Similarly, the Thieves Den feature provides you with a space full of unlockable content such as new music, character models, artwork, and more. It even includes challenges that you can complete simply by playing the main story and side missions, as well as a card game. Dungeons have also been significantly improved, thanks to a grappling hook feature that can be used to reach hidden areas or even ambush opponents from afar. Some dungeons have new layouts, including items called Will Seeds in off-the-beaten-path areas. When the entire set of these items is collected, they will restore your magic points and provide significant bonuses. Momentos, the randomised dungeons, have also been improved, with larger levels and an in-dungeon store that can provide bonus experience, money, and items while exploring these areas. And for Persona 5 veterans, restocking your ammo after each fight means you no longer have to save your ranged weapon attacks during a mission, making them far more useful. If there is a disadvantage to Royal, it is that there are so many things to do and so many options presented to you, especially once your group grows beyond four members, that it can be difficult to figure out what activity you should do when and with which characters. However, Persona 5 Royal is so large that you'll enjoy immersing yourself in it (or reintroducing yourself to its gameplay) for dozens of hours. 10/10","2022-11-06"
55,"Posted:","11-Nov-22","For real!?","2022-11-11"
57,"Posted:","21-Oct-22","SDHQ STEAM DECK PERFORMANCE REVIEW: Follow our curator page for more Steam Deck reviews and our Twitter for immediate updates on all SDHQ content including reviews, news, and more! This review is based ONLY on performance of the game on the STEAM DECK. The Game Itself: Persona 5 Royal is the extended and upgraded version of the newest mainline game in the well known JRPG series. Forced to transfer to a new school in Tokyo, you and your friends band together as the Phantom Thieves to infiltrate the minds of the corrupt and make them change their ways for the better. Alongside the exciting turn-based combat, you will sneak around grand locations manifested by these wicked individuals with your crew. But when the day is done, you will be walking around the town, going to school, and improving different aspects of yourself to become as powerful as possible with your team. Persona 5 Royal on Steam includes over 40 items of previously released DLC, as well as the upgraded version of the original game with tons of added content. Persona 5 is one of my favorite JRPGs so being able to review it like this feels like a dream come true. I also had my fears of how it would run. I ran into a lot of people claiming 60 FPS at highest settings works like a charm, which makes me skeptical for a game like this. But regardless, I was happy to dive in and I am glad I did. Steam Deck Performance: So at max settings, with the rendering scale set to 100%, Persona 5 runs at 60 FPS around 70% of the time. This generally is in smaller areas and corridors, but any bigger or open areas tend to buckle under the pressure. This leads to framerate drops below 50 FPS and battery drain that can go up to 22W. Bringing rendering scale to 200% only makes it significantly worse, but we can improve it all and give the game a 4+ hour battery life with stable and smooth gameplay! By bringing shadows down to medium and setting the framerate limit to 50, I was able to set a TDP of 7 for comfortable stability and feeling incredibly smooth. This allowed me to stick below 14W, usually hanging around 10 - 11, for an incredibly long battery life. The shadow quality option didn't seem to change much either, but it definitely helped Persona 5 Royal keep a stable 50 FPS. There are some areas in the larger open ones that still slow it down, but playing at 50 instead of 60 meant these slowdowns didn't show as much. Though once I saw the 200% rendering scale option, I was curious if I could create a quality build that incorporates it. Thankfully, the game is very well optimized! With a 40 FPS cap, we can get a 95% stable framerate with a TDP of 11 to keep battery under 20W drain. And since there are chunks of the game that take place in smaller areas, the battery drain goes down and you'll probably get around 3 hours of battery! The reason I decided to have the 40 and 50 caps for each build respectively is due to the parts in the game where you are in a more open and populated area. These caps not only account for that, but also keep the battery from draining too much. Apart from that, I didn't experience any bugs or issues when playing. It was a wonderful and smooth experience! Persona 5 Royal is an incredible JRPG that tells a fantastic story with engaging gameplay and tons of content. And the cherry on top, it runs like a charm on the Steam Deck. With a low battery drain, smooth, stable gameplay, and near max settings, Persona 5 Royal is a gem on deck. If you enjoy JRPGs, story-driven experiences, or even just video games in general, check out this game! SDHQ[steamdeckhq.com] is a website made for curating Steam Deck news, guides, and providing optimization/builds for games on the Deck.","2022-10-21"
58,"Posted:","18-Nov-22","legitimately one of the greatest JRPGs i've ever played, up there with the likes of Chrono Trigger & Mother 2/3. between its soundtrack, captivating story, art style, and classic turn-based combat, it really is the full package. truly f_ucking incredible -- i'm now residing in the Persona 6 waiting room edit: i should also mention that this port is extremely polished. i never played the versions on the playstation but it's got what you would expect -- 120 fps support, resolution scaling, and various other graphical/gameplay niceties that make it feel flawless to play on PC. i never crashed or had any issues right up until the very end when one of the ending cutscenes bugged out, but even then it happened for one specific section and returned to normal after said cutscene","2022-11-18"
60,"Posted:","26-Oct-22","Remuvo the Denuvo","2022-10-26"
62,"Posted:","5-Nov-22","After 100+ hours spent in this game, I can proudly say that the gay sex hits different","2022-11-05"
63,"Posted:","21-Oct-22","Put SMT V on Steam.","2022-10-21"
65,"Posted:","16-Dec-22","10/10 -Not enough Maruki Sensei...","2022-12-16"
66,"Posted:","28-Oct-22","Good game so far but i dont reccommend buying until they take off denuvo. locked me out for 24 hours after trying to play on linux and cant play in offline mode on steam deck. because of this i give it 3/10. i will change my review after this anti consumer bs is taken off the game","2022-10-28"
